PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
2,1,1,38.0,1,0,71.2833,1,0,1,0,0
4,1,1,35.0,1,0,53.1,1,0,0,0,1
7,0,1,54.0,0,0,51.8625,0,1,0,0,1
11,1,3,4.0,1,1,16.7,1,0,0,0,1
12,1,1,58.0,0,0,26.55,1,0,0,0,1
22,1,2,34.0,0,0,13.0,0,1,0,0,1
24,1,1,28.0,0,0,35.5,0,1,0,0,1
28,0,1,19.0,3,2,263.0,0,1,0,0,1
32,1,1,29.69911764705882,1,0,146.5208,1,0,1,0,0
53,1,1,49.0,1,0,76.7292,1,0,1,0,0
55,0,1,65.0,0,1,61.9792,0,1,1,0,0
56,1,1,29.69911764705882,0,0,35.5,0,1,0,0,1
62,1,1,38.0,0,0,80.0,1,0,0,0,1
63,0,1,45.0,1,0,83.475,0,1,0,0,1
67,1,2,29.0,0,0,10.5,1,0,0,0,1
76,0,3,25.0,0,0,7.65,0,1,0,0,1
89,1,1,23.0,3,2,263.0,1,0,0,0,1
93,0,1,46.0,1,0,61.175,0,1,0,0,1
97,0,1,71.0,0,0,34.6542,0,1,1,0,0
98,1,1,23.0,0,1,63.3583,0,1,1,0,0
103,0,1,21.0,0,1,77.2875,0,1,0,0,1
111,0,1,47.0,0,0,52.0,0,1,0,0,1
119,0,1,24.0,0,1,247.5208,0,1,1,0,0
124,1,2,32.5,0,0,13.0,1,0,0,0,1
125,0,1,54.0,0,1,77.2875,0,1,0,0,1
129,1,3,29.69911764705882,1,1,22.3583,1,0,1,0,0
137,1,1,19.0,0,2,26.2833,1,0,0,0,1
138,0,1,37.0,1,0,53.1,0,1,0,0,1
140,0,1,24.0,0,0,79.2,0,1,1,0,0
149,0,2,36.5,0,2,26.0,0,1,0,0,1
152,1,1,22.0,1,0,66.6,1,0,0,0,1
167,1,1,29.69911764705882,0,1,55.0,1,0,0,0,1
171,0,1,61.0,0,0,33.5,0,1,0,0,1
175,0,1,56.0,0,0,30.6958,0,1,1,0,0
178,0,1,50.0,0,0,28.7125,1,0,1,0,0
184,1,2,1.0,2,1,39.0,0,1,0,0,1
186,0,1,29.69911764705882,0,0,50.0,0,1,0,0,1
